positions_id,positions_decoding,positions_name,positions_aliases,positions_category,positions_subcategory,positions_type,positions_variation,positions_direction,positions_configuration,positions_inclination
146,Decubitus (-) ⟮-⟯ [-] ⟨-⟩ ⧼Lying⧽,Decubitus,,Lying,Medical,Decubitus,-,-,-,-
124,Dog (-) ⟮Downward⟯ [-] ⟨-⟩ ⧼Bending⧽,Downward Dog,"Downward Facing Dog, Adho Mukha Svanasana, Adho Mukha Shvanasana, अधोमुखश्वानासन",Bending,Yoga,Dog,-,Downward,-,-
324,Dragonfly (-) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Dragonfly,"Open Angle, Upavishta Konasana, उपविष्टकोणासन",Sitting,Split,Dragonfly,-,-,-,-
340,Pose (Durvasa's) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Durvasa's Pose,"Durvasasana, दुर्वासासन",Balancing,Pose,Pose,Durvasa's,-,-,-
342,Eagle (-) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Eagle,"Garudasana, गरुडासन",Balancing,,Eagle,-,-,-,-
350,Ear Pressing (-) ⟮-⟯ [-] ⟨-⟩ ⧼Inversion⧽,Ear Pressing,"Karnapidasana, कर्णपीडासन",Inversion,,Ear Pressing,-,-,-,-
316,Easy (-) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Easy,"Sukhasana, सुखासन",Sitting,Meditation,Easy,-,-,-,-
99,Eight Angled (-) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Eight Angled,"Aṣṭāvakra's Pose, Astavakrasana, अष्टावक्रासन",Balancing,,Eight Angled,-,-,-,-
106,Handstand (Elbow) ⟮-⟯ [-] ⟨-⟩ ⧼Handstand⧽,Elbow Handstand,Pincha Mayurasana,Balancing,,Handstand,Elbow,-,-,-
247,Running (Elliptical) ⟮-⟯ [-] ⟨-⟩ ⧼Running⧽,Elliptical Running,,Running,,Running,Elliptical,-,-,-
246,Walking (Elliptical) ⟮-⟯ [-] ⟨-⟩ ⧼Walking⧽,Elliptical Walking,,Walking,,Walking,Elliptical,-,-,-
341,Embryo (In Womb) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Embryo in Womb,"Garbha Pindasana, गर्भासन",Sitting,,Embryo,In Womb,-,-,-
308,Peacock (Feathered) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Feathered Peacock,"Pincha Mayurasana, पिञ्चमयूरासन",Balancing,,Peacock,Feathered,-,-,-
123,Fetal (-) ⟮-⟯ [-] ⟨-⟩ ⧼Lying⧽,Fetal,,Lying,Sleeping,Fetal,-,-,-,-
